"","pressure","oxygen"
"1",0.539,8.86
"2",0.537,8.86
"3",0.54,8.87
"4",0.539,8.88
"5",0.536,8.87
"6",0.535,8.87
"7",0.535,8.86
"8",0.539,8.85
"9",0.536,8.85
"10",0.536,8.85
"11",0.536,8.85
"12",0.537,8.85
"13",0.544,8.86
"14",0.543,8.87
"15",0.536,8.88
"16",0.526,8.88
"17",0.52,8.87
"18",0.525,8.86
"19",0.537,8.85
"20",0.545,8.85
"21",0.545,8.86
"22",0.534,8.87
"23",0.525,8.88
"24",0.524,8.89
"25",0.529,8.89
"26",0.537,8.9
"27",0.545,8.9
"28",0.545,8.89
"29",0.542,8.88
"30",0.535,8.87
"31",0.533,8.86
"32",0.529,8.86
"33",0.532,8.85
"34",0.535,8.85
"35",0.543,8.86
"36",0.548,8.87
"37",0.546,8.88
"38",0.54,8.89
"39",0.533,8.89
"40",0.53,8.89
"41",0.532,8.88
"42",0.537,8.88
"43",0.542,8.87
"44",0.542,8.87
"45",0.536,8.86
"46",0.532,8.86
"47",0.533,8.85
"48",0.536,8.86
"49",0.541,8.86
"50",0.539,8.85
"51",0.538,8.86
"52",0.535,8.86
"53",0.534,8.86
"54",0.533,8.87
"55",0.537,8.87
"56",0.541,8.87
"57",0.54,8.87
"58",0.537,8.87
"59",0.535,8.88
"60",0.532,8.89
"61",0.535,8.89
"62",0.536,8.89
"63",0.54,8.88
"64",0.537,8.87
"65",0.535,8.86
"66",0.533,8.85
"67",0.533,8.85
"68",0.535,8.85
"69",0.54,8.85
"70",0.543,8.86
"71",0.542,8.86
"72",0.539,8.87
"73",0.539,8.88
"74",0.539,8.88
"75",0.534,8.89
"76",0.533,8.89
"77",0.532,8.88
"78",0.533,8.88
"79",0.536,8.88
"80",0.54,8.89
"81",0.539,8.89
"82",0.536,8.9
"83",0.533,8.9
"84",0.533,8.9
"85",0.535,8.89
"86",0.537,8.88
"87",0.54,8.87
"88",0.54,8.87
"89",0.534,8.87
"90",0.532,8.87
"91",0.534,8.87
"92",0.535,8.86
"93",0.537,8.86
"94",0.534,8.85
"95",0.535,8.85
"96",0.536,8.86
"97",0.536,8.87
"98",0.534,8.88
"99",0.535,8.89
"100",0.537,8.89
"101",0.537,8.89
"102",0.536,8.89
"103",0.536,8.88
"104",0.537,8.87
"105",0.538,8.85
"106",0.538,8.85
"107",0.537,8.86
"108",0.536,8.87
"109",0.535,8.87
"110",0.536,8.88
"111",0.541,8.88
"112",0.541,8.88
"113",0.535,8.87
"114",0.535,8.86
"115",0.534,8.87
"116",0.538,8.88
"117",0.541,8.88
"118",0.535,8.89
"119",0.535,8.9
"120",0.534,8.9
"121",0.537,8.9
"122",0.537,8.9
"123",0.537,8.88
"124",0.535,8.89
"125",0.533,8.88
"126",0.533,8.88
"127",0.536,8.88
"128",0.537,8.87
"129",0.538,8.87
"130",0.536,8.87
"131",0.534,8.86
"132",0.537,8.86
"133",0.537,8.86
"134",0.54,8.85
"135",0.542,8.86
"136",0.54,8.86
"137",0.54,8.86
"138",0.538,8.87
"139",0.538,8.88
"140",0.537,8.87
"141",0.541,8.87
"142",0.541,8.88
"143",0.536,8.88
"144",0.537,8.88
"145",0.538,8.89
"146",0.541,8.89
"147",0.543,8.9
"148",0.542,8.9
"149",0.537,8.89
"150",0.538,8.89
"151",0.536,8.88
"152",0.54,8.87
"153",0.542,8.86
"154",0.543,8.85
"155",0.54,8.85
"156",0.535,8.85
"157",0.536,8.86
"158",0.54,8.86
"159",0.541,8.87
"160",0.539,8.87
"161",0.537,8.87
"162",0.535,8.87
"163",0.534,8.87
"164",0.537,8.88
"165",0.54,8.88
"166",0.542,8.89
"167",0.542,8.9
"168",0.543,8.9
"169",0.538,8.89
"170",0.543,8.88
"171",0.542,8.87
"172",0.54,8.87
"173",0.534,8.88
"174",0.535,8.88
"175",0.535,8.89
"176",0.541,8.9
"177",0.541,8.89
"178",0.542,8.88
"179",0.537,8.85
"180",0.536,8.83
"181",0.537,8.82
"182",0.536,8.82
"183",0.54,8.82
"184",0.538,8.83
"185",0.541,8.84
"186",0.538,8.86
"187",0.54,8.87
"188",0.538,8.87
"189",0.537,8.88
"190",0.538,8.88
"191",0.544,8.88
"192",0.55,8.88
"193",0.55,8.88
"194",0.548,8.88
"195",0.542,8.87
"196",0.536,8.87
"197",0.534,8.86
"198",0.54,8.87
"199",0.546,8.87
"200",0.55,8.87
"201",0.546,8.85
"202",0.543,8.86
"203",0.547,8.86
"204",0.548,8.86
"205",0.549,8.86
"206",0.543,8.86
"207",0.537,8.86
